description,year,name,region,on_churchill,on_map,region_edited
"
              The Northern Districts Education Centre (Sydney) Churchill Fellowship to investigate ways to monitor, analyse and report progress in student achievement - Netherlands, USA, Canada, Denmark, Hong Kong
            ",2000,"BRUNIGES, Michele",Hong Kong,yes,no,China
"
              To investigate ways to improve the commercial production and development of Australian plants - France, Italy Spain, Portugal, Morocco, USA
            ",2000,"DELAPORTE, Kate",Italy Spain,yes,no,Italy
"
              To investigate ways to improve the commercial production and development of Australian plants - France, Italy Spain, Portugal, Morocco, USA
            ",2000,"DELAPORTE, Kate",Italy Spain,yes,no,Spain
"
              To study educational support programs for students of secondary age with significant disabilities in mainstream high schools and to visit support programs for students with special needs or giftedness in remote indigenous communities in North America and Wales.
            ",2000,"DEVLIN, Nancy",NA,yes,no,Unknown
"
              The Samual and Eileen Gluyas Churchill Fellowship to study the design, planning and conduct of artificial insemination programmes of cattle in tropical environments - USA, South America
            ",2000,"FAHEY, Geoffrey",South America,yes,no,Unknown
"
              The Mr and Mrs Gerald Frank New Churchill Fellowship to refine vocal style by intensive study -UK
            ",2000,"FIEBIG, Taryn",NA,yes,no,Unknown
"
              To study alpaca fibre production and processing - USA, South America
            ",2000,"HENRY, Nicholas",South America,yes,no,Unknown
"
              The Churchill Fellows Association of Tasmania is pleased to be hosting the 2019 National Convention of Churchill Fellows from 5-7 April 2019 in Hobart, Australia
            ",2000,"Hobart, National Convention of Churchill Fellows",NA,yes,no,Unknown
"
              To investigate ways to combat organised crime, in particular, money laundering via alternative remittance and underground banking systems - Hong Kong, Singapore, UK, France, Italy, USA, Canada
            ",2000,"HOWLETT, Christine",Hong Kong,yes,no,China
"
              To investigate the applicability of the Rural Challenge Programm (RCP) to WA - USA.  Partially sponsored by WA Department of Education and Services
            ",2000,"PRICE, David",USA  Partially sponsored by WA Department of Education and Services,yes,no,Unknown
"
              To investigate ways to counter the production and use of counterfeit documents - Hong Kong, Netherlands, UK, USA
            ",2000,"RINGIN, Shane",Hong Kong,yes,no,China
"
              The Qantas Churchill Fellowship to gather information on tourism marketing strategies in Asia with particular emphasis on emerging special interest markets - Japan, Korea, Hong Kong, China, Indonesia
            ",2000,"SAUNDERS, Loretta",Korea,yes,no,South Korea
"
              The Qantas Churchill Fellowship to gather information on tourism marketing strategies in Asia with particular emphasis on emerging special interest markets - Japan, Korea, Hong Kong, China, Indonesia
            ",2000,"SAUNDERS, Loretta",Hong Kong,yes,no,China
"
              To study conventional and innovative rehabilitation techniques for quarries and mines - UK, USA, Canada, Hong Kong
            ",2000,"SLACK-SMITH, Jane",Hong Kong,yes,no,China
"
              To undertake an overseas field collection of new genetic Rhizobium material vital for improving the growth of Australian pasture and crop legumes - South America, Zimbabwe, Malawi, Syria, India
            ",2000,"SLATTERY, Jo",South America,yes,no,Unknown
"
              To investigate model forest areas and their certification ' Canada, USA
            ",1999,"ARMSTRONG, Julian",NA,yes,no,Unknown
"
              To study art nouveau, furniture carving, 3D figure carving, antique furniture restoration and conservation ' U.K., Austria, France, USA
            ",1999,"BORTON, Michael",NA,yes,no,Unknown
"
              To observe oral-history based radio programming ' U.K., USA
            ",1999,"CONNORS, Jane",NA,yes,no,Unknown
"
              To investigate the latest pharmacological and social approaches used to combat drug addiction - Switzerland, USA (co-sponsored by the WA Drug Abuse Strategy Office)
            ",1999,"DUCK, Greg",USA (co-sponsored by the WA Drug Abuse Strategy Office),yes,no,Unknown
"
              The Sir Vincent Fairfax Churchill Fellowship to observe methods which address the problems of elderly depression - U.K., Hong Kong, Netherlands, Norway, USA, Canada
            ",1999,"GIULIANO, Barbara",Hong Kong,yes,no,China
"
              The Kondinin Group Whittington Churchill Fellowship to investigate communication strategies and tactics that encourage farmers to adopt new technology and best practice - USA, Denmark, U.K., New Zealand

            ",1999,"Harfull, Liz",NA,yes,no,Unknown
"
              The AMP Churchill Fellowship to study current methodologies and techniques employed by international financial sector regulators - USA, Canada, U.K., Hong Kong
            ",1999,"KANE, Darren",Hong Kong,yes,no,China
"
              The Mr and Mrs Gerald Frank New Churchill Fellowship to investigate systems for assessing the quality of care for dementia sufferers - U.K., Netherlands, Canada (Partially sponsored by the Brightwater Care Group Inc)
            ",1999,"MOORE, Virginia",Canada (Partially sponsored by the Brightwater Care Group Inc),yes,no,Canada
"
              To study significant Pacific collections - Papua New Guinea, U.K., France, Germany USA
            ",1999,"SEARLE, Ross",Germany USA,yes,no,Germany
"
              To study significant Pacific collections - Papua New Guinea, U.K., France, Germany USA
            ",1999,"SEARLE, Ross",Germany USA,yes,no,USA
"
              To investigate a variety of roles local governments are adopting to facilitate the retention and promotion of affordable housing for people on low incomes - uk, netherlands, germany
            ",1999,"SMITH, Stephanie",uk,yes,no,UK
"
              To investigate a variety of roles local governments are adopting to facilitate the retention and promotion of affordable housing for people on low incomes - uk, netherlands, germany
            ",1999,"SMITH, Stephanie",netherlands,yes,no,Netherlands
"
              To investigate a variety of roles local governments are adopting to facilitate the retention and promotion of affordable housing for people on low incomes - uk, netherlands, germany
            ",1999,"SMITH, Stephanie",germany,yes,no,Germany
